
sphere_d02, sphere function
1.000000e+10	    1	15.06736
1.000000e+09	    1	15.06736
1.000000e+08	    1	15.06736
1.000000e+07	    1	15.06736
1.000000e+06	    1	15.06736
1.000000e+05	    1	15.06736
1.000000e+04	    1	15.06736
1.000000e+03	    1	15.06736
1.000000e+02	    1	15.06736
1.000000e+01	    2	6.93602
1.000000e+00	    4	0.73871

ellipsoid_d02, ellipsoid function
1.000000e+10	    1	1389308.96046
1.000000e+09	    1	1389308.96046
1.000000e+08	    1	1389308.96046
1.000000e+07	    1	1389308.96046
1.000000e+06	    4	5034.22470
1.000000e+05	    4	5034.22470
1.000000e+04	    4	5034.22470
1.000000e+03	    5	235.56666

rastrigin_d02, Rastrigin function
1.000000e+10	    1	33.92130
1.000000e+09	    1	33.92130
1.000000e+08	    1	33.92130
1.000000e+07	    1	33.92130
1.000000e+06	    1	33.92130
1.000000e+05	    1	33.92130
1.000000e+04	    1	33.92130
1.000000e+03	    1	33.92130
1.000000e+02	    1	33.92130
1.000000e+01	    4	5.51017

bueche-rastrigin_d02, Bueche-Rastrigin function
1.000000e+10	    1	33.92130
1.000000e+09	    1	33.92130
1.000000e+08	    1	33.92130
1.000000e+07	    1	33.92130
1.000000e+06	    1	33.92130
1.000000e+05	    1	33.92130
1.000000e+04	    1	33.92130
1.000000e+03	    1	33.92130
1.000000e+02	    1	33.92130
1.000000e+01	    4	5.51017

linear_slope_d02, linear slope function
1.000000e+10	    1	39.51478
1.000000e+09	    1	39.51478
1.000000e+08	    1	39.51478
1.000000e+07	    1	39.51478
1.000000e+06	    1	39.51478
1.000000e+05	    1	39.51478
1.000000e+04	    1	39.51478
1.000000e+03	    1	39.51478
1.000000e+02	    1	39.51478

rosenbrock_d02, Rosenbrock function
1.000000e+10	    1	15630.72905
1.000000e+09	    1	15630.72905
1.000000e+08	    1	15630.72905
1.000000e+07	    1	15630.72905
1.000000e+06	    1	15630.72905
1.000000e+05	    1	15630.72905
1.000000e+04	    2	3715.82418
1.000000e+03	    4	47.36815
1.000000e+02	    4	47.36815

sphere_d03, sphere function
1.000000e+10	    1	19.61740
1.000000e+09	    1	19.61740
1.000000e+08	    1	19.61740
1.000000e+07	    1	19.61740
1.000000e+06	    1	19.61740
1.000000e+05	    1	19.61740
1.000000e+04	    1	19.61740
1.000000e+03	    1	19.61740
1.000000e+02	    1	19.61740
1.000000e+01	    3	9.81284
1.000000e+00	    4	0.66554

ellipsoid_d03, ellipsoid function
1.000000e+10	    1	4551443.05102
1.000000e+09	    1	4551443.05102
1.000000e+08	    1	4551443.05102
1.000000e+07	    1	4551443.05102
1.000000e+06	    4	414064.65373
1.000000e+05	    8	98032.56637

rastrigin_d03, Rastrigin function
1.000000e+10	    1	41.76832
1.000000e+09	    1	41.76832
1.000000e+08	    1	41.76832
1.000000e+07	    1	41.76832
1.000000e+06	    1	41.76832
1.000000e+05	    1	41.76832
1.000000e+04	    1	41.76832
1.000000e+03	    1	41.76832
1.000000e+02	    1	41.76832

bueche-rastrigin_d03, Bueche-Rastrigin function
1.000000e+10	    1	41.76832
1.000000e+09	    1	41.76832
1.000000e+08	    1	41.76832
1.000000e+07	    1	41.76832
1.000000e+06	    1	41.76832
1.000000e+05	    1	41.76832
1.000000e+04	    1	41.76832
1.000000e+03	    1	41.76832
1.000000e+02	    1	41.76832

linear_slope_d03, linear slope function
1.000000e+10	    1	42.05485
1.000000e+09	    1	42.05485
1.000000e+08	    1	42.05485
1.000000e+07	    1	42.05485
1.000000e+06	    1	42.05485
1.000000e+05	    1	42.05485
1.000000e+04	    1	42.05485
1.000000e+03	    1	42.05485
1.000000e+02	    1	42.05485

rosenbrock_d03, Rosenbrock function
1.000000e+10	    1	15686.08289
1.000000e+09	    1	15686.08289
1.000000e+08	    1	15686.08289
1.000000e+07	    1	15686.08289
1.000000e+06	    1	15686.08289
1.000000e+05	    1	15686.08289
1.000000e+04	    2	8745.58064
1.000000e+03	    3	952.61404
1.000000e+02	    4	43.74677

sphere_d05, sphere function
1.000000e+10	    1	32.32216
1.000000e+09	    1	32.32216
1.000000e+08	    1	32.32216
1.000000e+07	    1	32.32216
1.000000e+06	    1	32.32216
1.000000e+05	    1	32.32216
1.000000e+04	    1	32.32216
1.000000e+03	    1	32.32216
1.000000e+02	    1	32.32216

ellipsoid_d05, ellipsoid function
1.000000e+10	    1	10398834.25055
1.000000e+09	    1	10398834.25055
1.000000e+08	    1	10398834.25055
1.000000e+07	    2	287204.84488
1.000000e+06	    2	287204.84488
1.000000e+05	   28	82794.77076

rastrigin_d05, Rastrigin function
1.000000e+10	    1	81.73432
1.000000e+09	    1	81.73432
1.000000e+08	    1	81.73432
1.000000e+07	    1	81.73432
1.000000e+06	    1	81.73432
1.000000e+05	    1	81.73432
1.000000e+04	    1	81.73432
1.000000e+03	    1	81.73432
1.000000e+02	    1	81.73432

bueche-rastrigin_d05, Bueche-Rastrigin function
1.000000e+10	    1	81.73432
1.000000e+09	    1	81.73432
1.000000e+08	    1	81.73432
1.000000e+07	    1	81.73432
1.000000e+06	    1	81.73432
1.000000e+05	    1	81.73432
1.000000e+04	    1	81.73432
1.000000e+03	    1	81.73432
1.000000e+02	    1	81.73432

linear_slope_d05, linear slope function
1.000000e+10	    1	71.84346
1.000000e+09	    1	71.84346
1.000000e+08	    1	71.84346
1.000000e+07	    1	71.84346
1.000000e+06	    1	71.84346
1.000000e+05	    1	71.84346
1.000000e+04	    1	71.84346
1.000000e+03	    1	71.84346
1.000000e+02	    1	71.84346

rosenbrock_d05, Rosenbrock function
1.000000e+10	    1	19476.65986
1.000000e+09	    1	19476.65986
1.000000e+08	    1	19476.65986
1.000000e+07	    1	19476.65986
1.000000e+06	    1	19476.65986
1.000000e+05	    1	19476.65986
1.000000e+04	    2	9515.28810
